Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	  7936	  8191	  3837	  8128.0
STATS	  8192	  8703	  4885	  8381.0
STATS	  8704	  9215	  2910	  9034.0
STATS	  9216	  9727	  2225	  9452.0
STATS	  9728	 10239	   748	  9948.0
STATS	 10240	 10751	   461	 10445.0
STATS	 10752	 11263	    47	 10921.0
STATS	 11264	 11775	     4	 11539.0
STATS	 11776	 12287	     3	 12100.0
STATS	 14848	 15359	     5	 15225.0
STATS	 15360	 15871	    21	 15674.0
STATS	 15872	 16383	    71	 16172.0
STATS	 16384	 17407	   142	 16805.0
STATS	 17408	 18431	    72	 17878.0
STATS	 18432	 19455	    26	 18761.0
STATS	 19456	 20479	     4	 19876.0
STATS	 20480	 21503	     3	 21104.0
STATS	 26624	 27647	     1	 27289.0
STATS	 27648	 28671	     1	 27839.0
STATS	mode	0	4885	  8381.0
STATS	mode	1	3837	  8128.0
STATS	mode	2	3664	  7848.0
STATS	mode_avg	  8145.0
STATS	summary	libc586	4096	     2.0
STATS	start	bytes=4096	func=lx64
STATS	  5376	  5631	   497	  5611.0
STATS	  5632	  5887	   918	  5725.0
STATS	  5888	  6143	   788	  6034.0
STATS	  6144	  6399	  4183	  6301.0
STATS	  6400	  6655	  4774	  6510.0
STATS	  6656	  6911	  2705	  6776.0
STATS	  6912	  7167	   956	  6984.0
STATS	  7168	  7423	  1317	  7361.0
STATS	  7424	  7679	  2005	  7517.0
STATS	  7680	  7935	   893	  7827.0
STATS	  7936	  8191	   368	  8026.0
STATS	  8192	  8703	   281	  8414.0
STATS	  8704	  9215	    43	  8851.0
STATS	  9216	  9727	     5	  9397.0
STATS	  9728	 10239	     2	  9881.0
STATS	 13824	 14335	     6	 14150.0
STATS	 14336	 14847	    49	 14653.0
STATS	 14848	 15359	    66	 15102.0
STATS	 15360	 15871	    50	 15589.0
STATS	 15872	 16383	    43	 16164.0
STATS	 16384	 17407	    39	 16858.0
STATS	 17408	 18431	     5	 17750.0
STATS	 18432	 19455	     3	 18870.0
STATS	 19456	 20479	     1	 20029.0
STATS	 20480	 21503	     1	 20672.0
STATS	 26624	 27647	     1	 27293.0
STATS	 90112	 94207	     1	 93044.0
STATS	mode	0	4774	  6510.0
STATS	mode	1	4183	  6301.0
STATS	mode	2	2705	  6776.0
STATS	mode_avg	  6496.7
STATS	summary	lx64	4096	     1.6
STATS	start	bytes=4096	func=lx64si0
STATS	  5120	  5375	    12	  5351.0
STATS	  5376	  5631	  1737	  5485.0
STATS	  5632	  5887	  1119	  5752.0
STATS	  5888	  6143	  3228	  6079.0
STATS	  6144	  6399	  6932	  6274.0
STATS	  6400	  6655	  4122	  6526.0
STATS	  6656	  6911	  2027	  6770.0
STATS	  6912	  7167	   507	  7005.0
STATS	  7168	  7423	    40	  7238.0
STATS	  7424	  7679	     3	  7550.0
STATS	  7680	  7935	     3	  7814.0
STATS	  7936	  8191	     1	  8055.0
STATS	  8192	  8703	     2	  8443.0
STATS	  8704	  9215	     4	  8943.0
STATS	  9216	  9727	     3	  9509.0
STATS	  9728	 10239	     1	  9782.0
