Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	mode	1	2926	 10467.0
STATS	mode	2	2644	 10994.0
STATS	mode_avg	 10204.3
STATS	summary	memcpy	5120	     2.0
STATS	start	bytes=5120	func=libc586
STATS	  9728	 10239	 12911	  9966.0
STATS	 10240	 10751	  2934	 10490.0
STATS	 10752	 11263	  2581	 11005.0
STATS	 11264	 11775	   912	 11393.0
STATS	 11776	 12287	   123	 11941.0
STATS	 12288	 12799	     8	 12421.0
STATS	 18432	 19455	   406	 18785.0
STATS	 19456	 20479	   106	 19858.0
STATS	 20480	 21503	    13	 20810.0
STATS	 21504	 22527	     2	 22080.0
STATS	 22528	 23551	     3	 22973.0
STATS	 24576	 25599	     1	 24695.0
STATS	mode	0	12911	  9966.0
STATS	mode	1	2934	 10490.0
STATS	mode	2	2581	 11005.0
STATS	mode_avg	 10195.0
STATS	summary	libc586	5120	     2.0
STATS	start	bytes=5120	func=lx64
STATS	  6656	  6911	     9	  6894.0
STATS	  6912	  7167	  6865	  7045.0
STATS	  7168	  7423	  4266	  7277.0
STATS	  7424	  7679	  1863	  7545.0
STATS	  7680	  7935	   917	  7789.0
STATS	  7936	  8191	   986	  8070.0
STATS	  8192	  8703	  1422	  8455.0
STATS	  8704	  9215	  1340	  8961.0
STATS	  9216	  9727	  1653	  9440.0
STATS	  9728	 10239	   270	  9841.0
STATS	 10240	 10751	     9	 10324.0
STATS	 11264	 11775	     3	 11450.0
STATS	 12288	 12799	     1	 12619.0
STATS	 15360	 15871	   113	 15750.0
STATS	 15872	 16383	   121	 16064.0
STATS	 16384	 17407	    63	 16906.0
STATS	 17408	 18431	    81	 17880.0
STATS	 18432	 19455	     7	 18741.0
STATS	 19456	 20479	     2	 19918.0
STATS	 20480	 21503	     3	 20774.0
STATS	 24576	 25599	     1	 24928.0
STATS	 45056	 47103	     1	 45819.0
STATS	 65536	 69631	     1	 68889.0
STATS	 81920	 86015	     1	 82462.0
STATS	106496	110591	     1	107705.0
STATS	131072	139263	     1	137417.0
STATS	mode	0	6865	  7045.0
STATS	mode	1	4266	  7277.0
STATS	mode	2	1863	  7545.0
STATS	mode_avg	  7192.9
STATS	summary	lx64	5120	     1.4
STATS	start	bytes=5120	func=lx64si0
STATS	  5888	  6143	  2103	  6110.0
STATS	  6144	  6399	  7877	  6246.0
STATS	  6400	  6655	  2794	  6511.0
STATS	  6656	  6911	  1496	  6773.0
STATS	  6912	  7167	  1102	  7037.0
STATS	  7168	  7423	  1133	  7298.0
STATS	  7424	  7679	   970	  7543.0
STATS	  7680	  7935	  1118	  7795.0
STATS	  7936	  8191	   790	  8059.0
STATS	  8192	  8703	   262	  8349.0
STATS	  8704	  9215	    22	  8845.0
STATS	 14336	 14847	    18	 14801.0
STATS	 14848	 15359	   168	 15048.0
STATS	 15360	 15871	    49	 15567.0
STATS	 15872	 16383	    45	 16139.0
STATS	 16384	 17407	    46	 16683.0
STATS	 17408	 18431	     4	 17644.0
STATS	 18432	 19455	     1	 18540.0
STATS	 19456	 20479	     1	 20434.0
STATS	 20480	 21503	     1	 20635.0
STATS	mode	0	7877	  6246.0
STATS	mode	1	2794	  6511.0
STATS	mode	2	2103	  6110.0
STATS	mode_avg	  6281.6
STATS	summary	lx64si0	5120	     1.2
STATS	start	bytes=5120	func=lx128
STATS	  7168	  7423	  4503	  7346.0
STATS	  7424	  7679	  6525	  7532.0
STATS	  7680	  7935	  2233	  7802.0
STATS	  7936	  8191	  1399	  8045.0
STATS	  8192	  8703	  1951	  8413.0
STATS	  8704	  9215	  1962	  9017.0
STATS	  9216	  9727	   965	  9378.0
STATS	  9728	 10239	    64	  9873.0
STATS	 10240	 10751	     3	 10307.0
STATS	 15872	 16383	   184	 16190.0
STATS	 16384	 17407	   124	 16731.0
STATS	 17408	 18431	    79	 17819.0
STATS	 18432	 19455	     4	 18860.0
STATS	 19456	 20479	     3	 19956.0
STATS	 21504	 22527	     1	 22238.0
STATS	mode	0	6525	  7532.0
STATS	mode	1	4503	  7346.0
STATS	mode	2	2233	  7802.0
STATS	mode_avg	  7514.3
STATS	summary	lx128	5120	     1.5
STATS	start	bytes=6144	func=memcpy
STATS	 11776	 12287	 12488	 11986.0
STATS	 12288	 12799	  2891	 12574.0
STATS	 12800	 13311	  2871	 13046.0
